FK_USER_ID,avg_impact_hr,max_impact_hr,session_count,impact_sign
120,-0.05741626794258373,31.0,211,-1.0
129,-0.14457831325301204,58.0,85,-1.0
215,0.03355704697986577,27.0,151,1.0
466,0.43373493975903615,54.0,85,1.0
727,0.10256410256410256,51.0,80,1.0
1022,-0.04926108374384237,9.0,205,-1.0
1068,0.061224489795918366,38.0,99,1.0
1184,0.0,8.0,144,0.0
1315,0.17054263565891473,32.0,131,1.0
1418,0.48,12.0,27,1.0
1532,0.0072992700729927005,24.0,138,1.0
1616,0.03787878787878788,11.0,134,1.0
1861,0.4,50.0,17,1.0
1901,-0.7727272727272727,26.0,24,-1.0
1906,-0.011494252873563218,22.0,89,-1.0
2103,-0.028169014084507043,15.0,143,-1.0
2307,0.1044776119402985,23.0,69,1.0
2419,0.0625,10.0,50,1.0
2645,-0.3333333333333333,10.0,13,-1.0
2688,-0.11510791366906475,16.0,141,-1.0
2716,0.014084507042253521,28.0,144,1.0
2796,-0.291044776119403,44.0,136,-1.0
3153,0.02142857142857143,10.0,141,1.0
3198,-0.11851851851851852,14.0,137,-1.0
3211,-0.06349206349206349,12.0,65,-1.0
3274,0.014084507042253521,12.0,144,1.0
3321,0.37037037037037035,35.0,29,1.0
3445,0.06666666666666667,10.0,152,1.0
3671,-0.11409395973154363,16.0,151,-1.0
3728,-0.0018957345971563982,17.0,1057,-1.0
3772,0.028735632183908046,17.0,176,1.0
3913,-1.5,3.0,12,-1.0
3942,-0.25675675675675674,17.0,75,-1.0
4001,-0.014925373134328358,24.0,136,-1.0
4044,-0.075,20.0,121,-1.0
4063,0.05263157894736842,10.0,135,1.0
4211,2.4444444444444446,16.0,10,1.0
4339,-0.32653061224489793,20.0,51,-1.0
4343,0.011560693641618497,10.0,175,1.0
4348,-0.057692307692307696,15.0,106,-1.0
4466,-0.06474820143884892,38.0,140,-1.0
4501,0.39215686274509803,20.0,53,1.0
4561,-0.21052631578947367,28.0,21,-1.0
4697,-0.02,8.0,52,-1.0
4955,-0.12413793103448276,27.0,147,-1.0
4992,0.9863013698630136,74.0,75,1.0
5004,-0.06521739130434782,10.0,140,-1.0
5089,-0.3488372093023256,17.0,45,-1.0
5177,0.029250457038391225,18.0,549,1.0
5451,0.1,28.0,62,1.0
5461,-0.02857142857142857,58.0,37,-1.0
5852,0.109375,55.0,66,1.0
5917,-0.11864406779661017,30.0,120,-1.0
5928,-0.22115384615384615,16.0,105,-1.0
5937,0.0990990990990991,27.0,113,1.0
6045,0.08333333333333333,4.0,13,1.0
6061,0.36666666666666664,44.0,92,1.0
6135,-0.6222222222222222,33.0,47,-1.0
6195,-0.2786885245901639,23.0,63,-1.0
6360,-0.06770833333333333,21.0,194,-1.0
6406,0.011461318051575931,17.0,351,1.0
6536,-0.0761904761904762,25.0,107,-1.0
6604,-0.02830188679245283,14.0,108,-1.0
6812,0.08823529411764706,28.0,137,1.0
6867,0.12949640287769784,69.0,141,1.0
6886,0.1037037037037037,20.0,136,1.0
6928,-0.3291139240506329,47.0,80,-1.0
6960,-0.1079136690647482,13.0,140,-1.0
7228,-0.09278350515463918,6.0,99,-1.0
7250,-0.1259259259259259,14.0,137,-1.0
7336,0.021897810218978103,6.0,139,1.0
7450,0.075,19.0,122,1.0
7860,0.058333333333333334,10.0,122,1.0
8065,0.00949367088607595,9.0,318,1.0
8126,0.03591160220994475,60.0,364,1.0
8227,0.036231884057971016,16.0,140,1.0
8389,0.20754716981132076,26.0,55,1.0
8656,-0.10101010101010101,30.0,101,-1.0
8708,-0.574468085106383,33.0,48,-1.0
8874,0.14,15.0,102,1.0
9038,-0.1282051282051282,25.0,119,-1.0
9092,0.023809523809523808,33.0,86,1.0
9144,-0.02197802197802198,27.0,184,-1.0
9192,0.013513513513513514,17.0,76,1.0
9262,-0.3333333333333333,6.0,10,-1.0
9277,-0.5,75.0,26,-1.0
9515,-0.037037037037037035,31.0,56,-1.0
9516,-0.22448979591836735,21.0,149,-1.0
9634,-0.07194244604316546,21.0,141,-1.0
9654,-0.007751937984496124,20.0,131,-1.0
9692,0.14772727272727273,29.0,90,1.0
9760,-0.1347517730496454,11.0,142,-1.0
9903,-0.09285714285714286,17.0,142,-1.0
9979,0.06875,10.0,162,1.0
10032,0.1836734693877551,14.0,51,1.0
10048,-0.007246376811594203,27.0,140,-1.0
10239,0.025974025974025976,12.0,156,1.0
10267,0.17532467532467533,60.0,156,1.0
10354,-0.21705426356589147,44.0,131,-1.0
10523,-0.14743589743589744,20.0,158,-1.0
10538,0.0,14.0,136,0.0
10587,0.21804511278195488,20.0,135,1.0
10632,-0.018518518518518517,25.0,55,-1.0
10642,-0.2967032967032967,13.0,93,-1.0
10655,-0.2,38.0,77,-1.0
10851,-0.03225806451612903,9.0,33,-1.0
10887,0.16883116883116883,18.0,79,1.0
10904,-0.4166666666666667,16.0,50,-1.0
10947,-0.017857142857142856,40.0,114,-1.0
11039,-0.12030075187969924,22.0,135,-1.0
11124,0.13559322033898305,20.0,179,1.0
11220,0.25316455696202533,18.0,81,1.0
11231,0.02197802197802198,21.0,93,1.0
11262,-0.11702127659574468,43.0,96,-1.0
11415,-0.06666666666666667,15.0,46,-1.0
11590,0.016666666666666666,25.0,121,1.0
11614,-0.1386861313868613,20.0,138,-1.0
11621,-0.024193548387096774,12.0,126,-1.0
11646,0.11023622047244094,29.0,129,1.0
11830,0.03597122302158273,18.0,141,1.0
11880,0.2413793103448276,72.0,30,1.0
12187,0.056818181818181816,20.0,178,1.0
12439,-0.07575757575757576,33.0,67,-1.0
12526,-0.07894736842105263,14.0,40,-1.0
12621,1.8928571428571428,50.0,30,1.0
12640,0.037037037037037035,20.0,136,1.0
12926,0.08759124087591241,59.0,138,1.0
12962,0.03680981595092025,20.0,165,1.0
13132,-0.1,15.0,32,-1.0
13282,0.7272727272727273,12.0,24,1.0
13347,0.0730593607305936,14.0,221,1.0
13364,-0.2,9.0,17,-1.0
13520,-0.39436619718309857,39.0,73,-1.0
13669,-0.2198581560283688,43.0,143,-1.0
13738,-0.04854368932038835,24.0,105,-1.0
13844,-0.18248175182481752,22.0,138,-1.0
14064,-0.03875968992248062,22.0,260,-1.0
14085,0.19540229885057472,41.0,89,1.0
14153,0.15151515151515152,33.0,133,1.0
14279,0.0,23.0,169,0.0
14367,-0.03296703296703297,23.0,184,-1.0
14559,-0.2624113475177305,26.0,142,-1.0
14611,0.2413793103448276,16.0,30,1.0
14956,-0.008928571428571428,28.0,114,-1.0
14965,0.03571428571428571,17.0,142,1.0
14980,0.006230529595015576,27.0,323,1.0
15049,-0.3111111111111111,28.0,137,-1.0
15063,0.14285714285714285,37.0,51,1.0
15117,0.017857142857142856,89.0,57,1.0
15121,-0.07971014492753623,10.0,140,-1.0
15152,-0.9047619047619048,49.0,23,-1.0
15352,-0.04032258064516129,20.0,126,-1.0
15501,-0.4772727272727273,23.0,45,-1.0
15505,-0.013071895424836602,24.0,308,-1.0
15717,-1.1794871794871795,20.0,41,-1.0
15964,-0.12121212121212122,23.0,67,-1.0
16017,0.15555555555555556,21.0,136,1.0
16187,-0.04375,9.0,162,-1.0
16515,0.040983606557377046,16.0,123,1.0
